locus	gene
1	ENSG00000066322
1	ENSG00000178922
1	ENSG00000237950
1	ENSG00000268949
1	ENSG00000164010
1	ENSG00000177868
1	ENSG00000227533
10	ENSG00000143727
10	ENSG00000233296
10	ENSG00000272342
10	ENSG00000237667
10	ENSG00000172554
13	ENSG00000136732
13	ENSG00000136717
13	ENSG00000144230
14	ENSG00000030419
14	ENSG00000224257
14	ENSG00000138376
14	ENSG00000229267
14	ENSG00000207274
14	ENSG00000227769
15	ENSG00000030419
15	ENSG00000224257
15	ENSG00000138376
15	ENSG00000229267
15	ENSG00000207274
15	ENSG00000227769
16	ENSG00000030419
16	ENSG00000224257
16	ENSG00000138376
16	ENSG00000229267
16	ENSG00000207274
16	ENSG00000227769
17	ENSG00000229642
17	ENSG00000189229
17	ENSG00000223719
18	ENSG00000232953
18	ENSG00000163576
19	ENSG00000114735
19	ENSG00000259956
19	ENSG00000114302
19	ENSG00000182179
19	ENSG00000164078
19	ENSG00000004534
2	ENSG00000066322
2	ENSG00000178922
2	ENSG00000237950
2	ENSG00000268949
2	ENSG00000164010
2	ENSG00000177868
2	ENSG00000227533
20	ENSG00000114735
20	ENSG00000259956
20	ENSG00000114302
20	ENSG00000182179
20	ENSG00000164078
20	ENSG00000004534
21	ENSG00000114735
21	ENSG00000259956
21	ENSG00000114302
21	ENSG00000182179
21	ENSG00000164078
21	ENSG00000004534
24	ENSG00000249413
24	ENSG00000287383
28	ENSG00000250377
29	ENSG00000250377
3	ENSG00000066322
3	ENSG00000178922
3	ENSG00000237950
3	ENSG00000268949
3	ENSG00000164010
3	ENSG00000177868
3	ENSG00000227533
30	ENSG00000250377
31	ENSG00000181751
32	ENSG00000250025
33	ENSG00000278637
33	ENSG00000286522
33	ENSG00000287080
33	ENSG00000187837
33	ENSG00000197061
33	ENSG00000180596
33	ENSG00000180573
33	ENSG00000217159
33	ENSG00000276966
33	ENSG00000124575
33	ENSG00000277775
33	ENSG00000218690
33	ENSG00000158406
33	ENSG00000186470
33	ENSG00000026950
33	ENSG00000228223
33	ENSG00000182952
33	ENSG00000284607
33	ENSG00000285571
33	ENSG00000261584
33	ENSG00000241549
33	ENSG00000196787
33	ENSG00000184357
33	ENSG00000275126
33	ENSG00000216901
34	ENSG00000278637
34	ENSG00000286522
34	ENSG00000287080
34	ENSG00000187837
34	ENSG00000197061
34	ENSG00000180596
34	ENSG00000180573
34	ENSG00000217159
34	ENSG00000276966
34	ENSG00000124575
34	ENSG00000277775
34	ENSG00000218690
34	ENSG00000158406
34	ENSG00000186470
34	ENSG00000026950
34	ENSG00000228223
34	ENSG00000182952
34	ENSG00000284607
34	ENSG00000285571
34	ENSG00000261584
34	ENSG00000241549
34	ENSG00000196787
34	ENSG00000184357
34	ENSG00000275126
34	ENSG00000216901
35	ENSG00000124490
36	ENSG00000092820
36	ENSG00000285427
36	ENSG00000112110
36	ENSG00000175003
36	ENSG00000146477
36	ENSG00000198670
36	ENSG00000224477
36	ENSG00000287558
37	ENSG00000112530
38	ENSG00000229043
39	ENSG00000229043
39	ENSG00000236708
4	ENSG00000066322
4	ENSG00000178922
4	ENSG00000237950
4	ENSG00000268949
4	ENSG00000164010
4	ENSG00000177868
4	ENSG00000227533
40	ENSG00000002822
40	ENSG00000146555
40	ENSG00000236708
41	ENSG00000214293
41	ENSG00000285892
42	ENSG00000214194
43	ENSG00000214194
44	ENSG00000147324
44	ENSG00000173273
44	ENSG00000207701
44	ENSG00000253641
44	ENSG00000184647
44	ENSG00000255310
44	ENSG00000215346
44	ENSG00000280273
44	ENSG00000154316
44	ENSG00000287798
44	ENSG00000254507
44	ENSG00000284610
47	ENSG00000123908
47	ENSG00000253210
48	ENSG00000225472
48	ENSG00000272871
48	ENSG00000175893
48	ENSG00000215237
48	ENSG00000232000
48	ENSG00000263817
49	ENSG00000138207
49	ENSG00000148690
49	ENSG00000108239
49	ENSG00000225533
49	ENSG00000059573
5	ENSG00000235501
5	ENSG00000233907
5	ENSG00000228502
50	ENSG00000221767
50	ENSG00000107957
50	ENSG00000148834
50	ENSG00000065621
50	ENSG00000228261
50	ENSG00000148841
51	ENSG00000221767
51	ENSG00000107957
51	ENSG00000148834
51	ENSG00000065621
51	ENSG00000228261
51	ENSG00000148841
52	ENSG00000255094
53	ENSG00000139547
53	ENSG00000135454
53	ENSG00000123427
53	ENSG00000257921
53	ENSG00000123297
54	ENSG00000286608
54	ENSG00000139323
55	ENSG00000134871
55	ENSG00000139832
55	ENSG00000134905
55	ENSG00000277767
55	ENSG00000102606
55	ENSG00000285856
56	ENSG00000141458
56	ENSG00000154059
56	ENSG00000287611
56	ENSG00000266489
56	ENSG00000198795
58	ENSG00000232712
6	ENSG00000235501
6	ENSG00000233907
6	ENSG00000228502
61	ENSG00000125814
61	ENSG00000230133
61	ENSG00000101463
61	ENSG00000101474
61	ENSG00000230725
61	ENSG00000277938
7	ENSG00000235501
7	ENSG00000233907
7	ENSG00000228502
9	ENSG00000162733
9	ENSG00000132196
9	ENSG00000185630
