locus	isoform
1	ENST00000545068.5_5
1	ENST00000461083.1_2
1	ENST00000654683.1_1
1	ENST00000663155.1_1
1	ENST00000657597.1_1
1	ENST00000655845.1_1
1	ENST00000495044.6_2
1	ENST00000665466.1_1
1	ENST00000653544.1_1
1	ENST00000667055.1_1
1	ENST00000656306.1_1
1	ENST00000304979.8_2
1	ENST00000440068.5_5
1	ENST00000372549.1_1
1	ENST00000649886.1_2
1	ENST00000460831.1_2
1	ENST00000236040.8_3
1	ENST00000372525.7_3
1	ENST00000650521.1_1
1	ENST00000637012.1_3
1	ENST00000372522.5_2
1	ENST00000372517.8_5
1	ENST00000497437.1_2
1	ENST00000372521.9_3
1	ENST00000328249.3_4
1	ENST00000372502.5_1
1	ENST00000629908.1_1
1	ENST00000415851.6_2
1	ENST00000426263.9_5
1	ENST00000630821.1_2
1	ENST00000431759.5_1
1	ENST00000416689.1_1
1	ENST00000335282.5_2
1	ENST00000236051.2_3
1	ENST00000483082.1_2
1	ENST00000431635.6_3
1	ENST00000474566.1_2
1	ENST00000432792.6_1
1	ENST00000523677.6_3
1	ENST00000372476.8_2
1	ENST00000473014.1_1
1	ENST00000473560.1_2
1	ENST00000372455.4_2
1	ENST00000372457.9_3
1	ENST00000638631.1_1
1	ENST00000639197.1_1
1	ENST00000470897.2_2
1	ENST00000471177.1_1
1	ENST00000483618.1_2
1	ENST00000372430.7_4
1	ENST00000469587.1_2
1	ENST00000372434.5_3
1	ENST00000372427.5_2
1	ENST00000372432.5_2
1	ENST00000372425.8_2
1	ENST00000438120.5_2
1	ENST00000429895.5_1
1	ENST00000477970.1_1
1	ENST00000481296.1_1
1	ENST00000532911.6_2
1	ENST00000330208.6_1
1	ENST00000647237.1_2
1	ENST00000361392.9_3
1	ENST00000489897.6_2
1	ENST00000647148.1_1
1	ENST00000646776.1_1
1	ENST00000361746.9_2
1	ENST00000645034.1_1
1	ENST00000398804.7_2
1	ENST00000372362.6_1
1	ENST00000372367.5_1
1	ENST00000530581.5_1
1	ENST00000531451.5_1
1	ENST00000646416.1_1
1	ENST00000643813.1_5
1	ENST00000645161.1_5
1	ENST00000646032.1_5
1	ENST00000643989.1_3
