locus	intron
1	1:43282251:43282425:clu_10629_NA
1	1:43283486:43289280:clu_10633_NA
1	1:43315413:43316330:clu_10639_NA
1	1:43904488:43904600:clu_10704_NA
1	1:43907489:43907671:clu_10708_NA
1	1:43911655:43911850:clu_10710_NA
1	1:43913369:43913520:clu_10712_NA
1	1:44386600:44395691:clu_10746_NA
1	1:44679221:44679421:clu_10792_NA
1	1:45115441:45116376:clu_10813_NA
1	1:45120791:45125846:clu_10805_NA
1	1:45288341:45288741:clu_10848_NA
1	1:46016827:46032241:clu_10893_NA
10	2:219001:224864:clu_5_NA
10	2:219001:229966:clu_5_NA
10	2:224920:229966:clu_5_NA
10	2:234272:242798:clu_11_NA
10	2:234272:243503:clu_11_NA
10	2:234272:247538:clu_11_NA
10	2:242871:243503:clu_11_NA
10	2:271939:272037:clu_14_NA
10	2:271939:272192:clu_14_NA
10	2:272150:275140:clu_15_NA
10	2:272305:275140:clu_15_NA
10	2:280152:282511:clu_16_NA
10	2:281789:283111:clu_16_NA
10	2:282930:283111:clu_16_NA
10	2:669675:669757:clu_8_NA
10	2:675630:677289:clu_9_NA
10	2:676238:676574:clu_9_NA
10	2:1014754:1079204:clu_45_NA
10	2:1094096:1097717:clu_49_NA
10	2:1094096:1099091:clu_49_NA
10	2:1099128:1133308:clu_49_NA
10	2:1251215:1252441:clu_51_NA
10	2:1959836:1960214:clu_134_NA
11	2:103902965:103904291:clu_3468_NA
11	2:103902965:103936124:clu_3468_NA
11	2:103907317:103936124:clu_3468_NA
11	2:103912427:103950765:clu_3468_NA
11	2:103920228:103925829:clu_3468_NA
11	2:103920228:103936124:clu_3468_NA
11	2:103935787:103936124:clu_3468_NA
11	2:103936550:103942002:clu_3468_NA
11	2:103936550:103950765:clu_3468_NA
11	2:103936632:103938475:clu_3468_NA
11	2:103936936:103938475:clu_3468_NA
11	2:103940308:103942005:clu_3468_NA
11	2:103942050:103944187:clu_3468_NA
11	2:103942050:103944830:clu_3468_NA
11	2:103943246:103944187:clu_3468_NA
11	2:103943246:103944830:clu_3468_NA
11	2:103943246:103950765:clu_3468_NA
11	2:103950096:103950765:clu_3468_NA
11	2:104423524:104428564:clu_3473_NA
12	2:103902965:103904291:clu_3468_NA
12	2:103902965:103936124:clu_3468_NA
12	2:103907317:103936124:clu_3468_NA
12	2:103912427:103950765:clu_3468_NA
12	2:103920228:103925829:clu_3468_NA
12	2:103920228:103936124:clu_3468_NA
12	2:103935787:103936124:clu_3468_NA
12	2:103936550:103942002:clu_3468_NA
12	2:103936550:103950765:clu_3468_NA
12	2:103936632:103938475:clu_3468_NA
12	2:103936936:103938475:clu_3468_NA
12	2:103940308:103942005:clu_3468_NA
12	2:103942050:103944187:clu_3468_NA
12	2:103942050:103944830:clu_3468_NA
12	2:103943246:103944187:clu_3468_NA
12	2:103943246:103944830:clu_3468_NA
12	2:103943246:103950765:clu_3468_NA
12	2:103950096:103950765:clu_3468_NA
12	2:104423524:104428564:clu_3473_NA
13	2:128146574:128146687:clu_4061_NA
13	2:128146761:128155523:clu_4061_NA
13	2:128397003:128397645:clu_4083_NA
14	2:214162081:214181943:clu_6370_NA
14	2:214174901:214181943:clu_6370_NA
15	2:214162081:214181943:clu_6370_NA
15	2:214174901:214181943:clu_6370_NA
15	2:216213972:216216677:clu_6403_NA
15	2:216213972:216227369:clu_6403_NA
15	2:216781786:216796293:clu_6421_NA
15	2:216781786:216803513:clu_6421_NA
15	2:216781786:216811746:clu_6421_NA
15	2:216798916:216803513:clu_6421_NA
16	2:214162081:214181943:clu_6370_NA
16	2:214174901:214181943:clu_6370_NA
16	2:216213972:216216677:clu_6403_NA
16	2:216213972:216227369:clu_6403_NA
16	2:216781786:216796293:clu_6421_NA
16	2:216781786:216803513:clu_6421_NA
16	2:216781786:216811746:clu_6421_NA
16	2:216798916:216803513:clu_6421_NA
16	2:216931241:216947201:clu_6430_NA
17	3:6759354:6773958:clu_38251_NA
17	3:6759354:6777349:clu_38251_NA
17	3:6759354:6870318:clu_38251_NA
17	3:6761958:6762596:clu_38251_NA
17	3:6762656:6766137:clu_38251_NA
17	3:6774182:6776186:clu_38251_NA
17	3:6776335:6777349:clu_38251_NA
17	3:6811805:6823748:clu_38251_NA
17	3:6811805:6828279:clu_38251_NA
17	3:6811805:6858627:clu_38251_NA
17	3:6828373:6870318:clu_38251_NA
17	3:6858700:6870318:clu_38251_NA
17	3:7300579:7340371:clu_38253_NA
18	3:19924223:19925238:clu_38810_NA
18	3:19924223:19929936:clu_38810_NA
18	3:19925422:19925895:clu_38810_NA
18	3:19926107:19938154:clu_38810_NA
18	3:19926107:19938179:clu_38810_NA
18	3:19941557:19947112:clu_38811_NA
18	3:19956905:19958603:clu_38812_NA
18	3:19958695:19959724:clu_38812_NA
18	3:19961468:19974722:clu_38813_NA
18	3:19961468:19977633:clu_38813_NA
18	3:19961468:19988411:clu_38813_NA
18	3:19962059:19974722:clu_38813_NA
18	3:19962059:19987647:clu_38813_NA
18	3:19974957:19977633:clu_38813_NA
18	3:19977826:19978536:clu_38813_NA
18	3:19977826:19984110:clu_38813_NA
18	3:19977826:19984728:clu_38813_NA
18	3:19977826:19987647:clu_38813_NA
18	3:19978633:19984110:clu_38813_NA
18	3:19978633:19987647:clu_38813_NA
18	3:19978633:19988411:clu_38813_NA
18	3:19983617:19984110:clu_38813_NA
18	3:19983617:19988411:clu_38813_NA
18	3:19984167:19984728:clu_38813_NA
18	3:19984167:19988411:clu_38813_NA
18	3:19984837:19985616:clu_38813_NA
18	3:19984837:19987647:clu_38813_NA
18	3:19984837:19988411:clu_38813_NA
18	3:19985741:19987647:clu_38813_NA
18	3:19985741:19988411:clu_38813_NA
18	3:19987746:19988140:clu_38813_NA
18	3:19987746:19988411:clu_38813_NA
18	3:19987757:19988411:clu_38813_NA
18	3:19987836:19988411:clu_38813_NA
18	3:19988259:19988411:clu_38813_NA
18	3:20212724:20216497:clu_38826_NA
18	3:20219839:20225100:clu_38827_NA
19	3:48207383:48209336:clu_39713_NA
19	3:48457860:48459320:clu_39743_NA
19	3:48601855:48602216:clu_39772_NA
19	3:48623911:48623996:clu_39799_NA
19	3:48730612:48732523:clu_39845_NA
19	3:48731673:48731892:clu_39845_NA
19	3:48732851:48754590:clu_39846_NA
19	3:49721622:49721747:clu_39985_NA
19	3:49721622:49721804:clu_39985_NA
19	3:49723165:49723293:clu_39995_NA
19	3:49738142:49738924:clu_40004_NA
19	3:49738142:49738966:clu_40004_NA
19	3:49742619:49742967:clu_40009_NA
19	3:49885041:49885576:clu_40042_NA
19	3:49927493:49927918:clu_40050_NA
19	3:50404928:50405073:clu_40135_NA
19	3:50416630:50416863:clu_40140_NA
19	3:50421768:50424999:clu_40141_NA
19	3:50607069:50608362:clu_40147_NA
19	3:50617660:50619509:clu_40151_NA
2	1:43282251:43282425:clu_10629_NA
2	1:43283486:43289280:clu_10633_NA
2	1:43315413:43316330:clu_10639_NA
2	1:43904488:43904600:clu_10704_NA
2	1:43907489:43907671:clu_10708_NA
2	1:43911655:43911850:clu_10710_NA
2	1:43913369:43913520:clu_10712_NA
2	1:44386600:44395691:clu_10746_NA
2	1:44679221:44679421:clu_10792_NA
2	1:45115441:45116376:clu_10813_NA
2	1:45120791:45125846:clu_10805_NA
2	1:45288341:45288741:clu_10848_NA
2	1:46016827:46032241:clu_10893_NA
20	3:48207383:48209336:clu_39713_NA
20	3:48457860:48459320:clu_39743_NA
20	3:48601855:48602216:clu_39772_NA
20	3:48623911:48623996:clu_39799_NA
20	3:48730612:48732523:clu_39845_NA
20	3:48731673:48731892:clu_39845_NA
20	3:48732851:48754590:clu_39846_NA
20	3:49721622:49721747:clu_39985_NA
20	3:49721622:49721804:clu_39985_NA
20	3:49723165:49723293:clu_39995_NA
20	3:49738142:49738924:clu_40004_NA
20	3:49738142:49738966:clu_40004_NA
20	3:49742619:49742967:clu_40009_NA
20	3:49885041:49885576:clu_40042_NA
20	3:49927493:49927918:clu_40050_NA
20	3:50404928:50405073:clu_40135_NA
20	3:50416630:50416863:clu_40140_NA
20	3:50421768:50424999:clu_40141_NA
20	3:50607069:50608362:clu_40147_NA
20	3:50617660:50619509:clu_40151_NA
21	3:48207383:48209336:clu_39713_NA
21	3:48457860:48459320:clu_39743_NA
21	3:48601855:48602216:clu_39772_NA
21	3:48623911:48623996:clu_39799_NA
21	3:48730612:48732523:clu_39845_NA
21	3:48731673:48731892:clu_39845_NA
21	3:48732851:48754590:clu_39846_NA
21	3:49721622:49721747:clu_39985_NA
21	3:49721622:49721804:clu_39985_NA
21	3:49723165:49723293:clu_39995_NA
21	3:49738142:49738924:clu_40004_NA
