locus	isoform
1	ENST00000660910.1_1
1	ENST00000440068.5_5
1	ENST00000372525.7_3
1	ENST00000372521.9_3
1	ENST00000372502.5_1
1	ENST00000372492.8_3
1	ENST00000431635.6_3
1	ENST00000471187.1_1
1	ENST00000372458.8_3
1	ENST00000372432.5_2
1	ENST00000438120.5_2
1	ENST00000372324.5_1
1	ENST00000466926.1_6
1	ENST00000496262.1_1
1	ENST00000636293.1_1
10	ENST00000460464.1_2
10	ENST00000472012.1_2
10	ENST00000451005.5_3
10	ENST00000479739.6_2
10	ENST00000356150.10_3
10	ENST00000403712.6_2
10	ENST00000402632.5_2
10	ENST00000272067.10_2
10	ENST00000272065.10_3
10	ENST00000477202.1_2
10	ENST00000281017.8_5
10	ENST00000432667.5_2
10	ENST00000606068.1_1
10	ENST00000662432.1_2
10	ENST00000308624.10_2
11	ENST00000477711.1_1
11	ENST00000447876.5_2
12	ENST00000477711.1_1
12	ENST00000447876.5_2
13	ENST00000433673.1_1
14	ENST00000432529.6_1
14	ENST00000440779.5_1
14	ENST00000617164.5_3
14	ENST00000664818.1_1
14	ENST00000384544.1
14	ENST00000456923.5_2
14	ENST00000471193.1_2
15	ENST00000432529.6_1
15	ENST00000440779.5_1
15	ENST00000617164.5_3
15	ENST00000664818.1_1
15	ENST00000384544.1
15	ENST00000456923.5_2
15	ENST00000471193.1_2
16	ENST00000440779.5_1
16	ENST00000617164.5_3
16	ENST00000664818.1_1
16	ENST00000384544.1
16	ENST00000456923.5_2
16	ENST00000471193.1_2
17	ENST00000454211.1_1
17	ENST00000448328.6_1
18	ENST00000498089.1_2
18	ENST00000439846.1_2
18	ENST00000344838.8_3
18	ENST00000474780.1_2
19	ENST00000432678.6_2
19	ENST00000383729.9_3
19	ENST00000454491.5_1
19	ENST00000454079.5_1
19	ENST00000563281.2_2
2	ENST00000660910.1_1
2	ENST00000440068.5_5
2	ENST00000372525.7_3
2	ENST00000372521.9_3
2	ENST00000372502.5_1
2	ENST00000372492.8_3
2	ENST00000431635.6_3
2	ENST00000471187.1_1
2	ENST00000372458.8_3
2	ENST00000372432.5_2
2	ENST00000438120.5_2
2	ENST00000372324.5_1
2	ENST00000466926.1_6
2	ENST00000496262.1_1
2	ENST00000636293.1_1
20	ENST00000432678.6_2
20	ENST00000383729.9_3
20	ENST00000454491.5_1
20	ENST00000454079.5_1
20	ENST00000563281.2_2
21	ENST00000432678.6_2
21	ENST00000383729.9_3
21	ENST00000454491.5_1
21	ENST00000454079.5_1
21	ENST00000563281.2_2
22	ENST00000480814.5_2
22	ENST00000467604.5_2
23	ENST00000480814.5_2
23	ENST00000467604.5_2
24	ENST00000613740.4_2
24	ENST00000508572.1_1
28	ENST00000655360.1_2
28	ENST00000666808.1_1
28	ENST00000661351.1_1
28	ENST00000507736.2_2
28	ENST00000510087.6_2
28	ENST00000670494.1_2
28	ENST00000659116.1_1
28	ENST00000506978.5_2
28	ENST00000666338.1_2
29	ENST00000655360.1_2
29	ENST00000666808.1_1
29	ENST00000661351.1_1
29	ENST00000507736.2_2
29	ENST00000510087.6_2
